event_id,user_id,event_time,valid,item_id
1,1255,2018-10-01 07:42:23,0,item_15
2,28168,2018-10-01 08:06:19,0,item_1
3,25151,2018-10-01 09:05:40,0,item_11
3,25151,2018-10-01 09:05:40,0,item_15
4,13366,2018-10-01 09:06:53,0,item_13
5,14433,2018-10-01 09:19:21,0,item_15
6,2699,2018-10-01 09:24:54,0,item_2
7,9650,2018-10-01 09:27:45,0,item_2
8,29514,2018-10-01 09:32:15,0,item_6
9,37990,2018-10-01 09:48:04,0,item_3
10,38650,2018-10-01 09:50:11,0,item_15
11,11354,2018-10-01 09:57:39,0,item_9
12,988,2018-10-01 09:58:03,0,item_2
13,5502,2018-10-01 10:11:35,0,item_2
14,28485,2018-10-01 10:12:05,0,item_3
15,21985,2018-10-01 10:12:13,0,item_6
16,24104,2018-10-01 10:12:52,0,item_2
17,26197,2018-10-01 10:13:01,0,item_15
18,35169,2018-10-01 10:21:15,0,item_11
18,35169,2018-10-01 10:21:15,0,item_2
19,37150,2018-10-01 10:36:31,0,item_6
20,28422,2018-10-01 10:44:18,0,item_15
21,34046,2018-10-01 10:55:01,0,item_6
22,38674,2018-10-01 11:12:33,0,item_11
22,38674,2018-10-01 11:12:33,0,item_14
22,38674,2018-10-01 11:12:33,0,item_15
22,38674,2018-10-01 11:12:33,0,item_16
22,38674,2018-10-01 11:12:33,0,item_2
23,21749,2018-10-01 11:16:53,0,item_1
24,19387,2018-10-01 11:44:47,0,item_1
25,4609,2018-10-01 11:50:52,0,item_3
26,28211,2018-10-01 11:57:42,0,item_10
27,20000,2018-10-01 12:27:33,0,item_1
28,22907,2018-10-01 12:31:06,0,item_8
29,29394,2018-10-01 12:34:34,0,item_2
30,11224,2018-10-01 12:35:04,0,item_11
31,3435,2018-10-01 12:38:12,0,item_5
32,28121,2018-10-01 12:40:27,0,item_1
32,28121,2018-10-01 12:40:27,0,item_15
33,2180,2018-10-01 12:42:28,0,item_9
34,6440,2018-10-01 12:47:09,0,item_5
34,6440,2018-10-01 12:47:09,0,item_6
35,34524,2018-10-01 13:15:23,0,item_2
36,37564,2018-10-01 13:17:12,0,item_2
37,3307,2018-10-01 13:18:25,0,item_15
38,12382,2018-10-01 13:21:05,0,item_1
39,24318,2018-10-01 13:27:17,0,item_9
40,38110,2018-10-01 13:29:04,0,item_14
41,11815,2018-10-01 13:31:31,0,item_15
42,13687,2018-10-01 13:37:46,0,item_15
43,26546,2018-10-01 14:06:40,0,item_2
44,1996,2018-10-01 14:14:26,0,item_14
