event_id,valid,item_id
1,0,item_15
2,0,item_1
3,0,item_11
3,0,item_15
4,0,item_13
5,0,item_15
6,0,item_2
7,0,item_2
8,0,item_6
9,0,item_3
10,0,item_15
11,0,item_9
12,0,item_2
13,0,item_2
14,0,item_3
15,0,item_6
16,0,item_2
17,0,item_15
18,0,item_11
18,0,item_2
19,0,item_6
20,0,item_15
21,0,item_6
22,0,item_11
22,0,item_14
22,0,item_15
22,0,item_16
22,0,item_2
23,0,item_1
24,0,item_1
25,0,item_3
26,0,item_10
27,0,item_1
28,0,item_8
29,0,item_2
30,0,item_11
31,0,item_5
32,0,item_1
32,0,item_15
33,0,item_9
34,0,item_5
34,0,item_6
35,0,item_2
36,0,item_2
37,0,item_15
38,0,item_1
39,0,item_9
40,0,item_14
41,0,item_15
42,0,item_15
43,0,item_2
44,0,item_14
45,0,item_13
46,0,item_13
47,0,item_15
47,0,item_2
48,0,item_2
49,0,item_2
50,0,item_2
51,0,item_2
52,0,item_13
53,0,item_13
54,0,item_2
55,0,item_15
55,0,item_2
56,0,item_15
57,0,item_6
58,0,item_15
58,0,item_16
58,0,item_2
59,0,item_15
60,0,item_2
61,0,item_5
62,0,item_6
63,0,item_11
64,0,item_2
65,0,item_15
66,0,item_2
67,0,item_2
68,0,item_6
68,0,item_15
69,0,item_6
70,0,item_3
70,0,item_15
71,0,item_11
72,0,item_13
73,0,item_6
74,0,item_3
75,0,item_11
76,0,item_2
77,0,item_2
78,0,item_2
79,0,item_2
80,0,item_2
81,0,item_2
82,0,item_2
83,0,item_2
84,0,item_2
85,0,item_2
86,0,item_2
87,0,item_2
88,0,item_2
89,0,item_2
90,0,item_2
91,0,item_2
92,0,item_2
93,0,item_2
94,0,item_2
95,0,item_2
96,0,item_2
97,0,item_11
97,0,item_2
98,0,item_11
99,0,item_14
100,0,item_2
101,0,item_2
102,0,item_15
103,0,item_12
104,0,item_2
105,0,item_2
106,0,item_11
107,0,item_4
108,0,item_4
108,0,item_2
109,0,item_15
110,0,item_6
111,0,item_14
112,0,item_1
113,0,item_14
114,0,item_15
115,0,item_5
116,0,item_1
117,0,item_11
117,0,item_12
117,0,item_13
117,0,item_2
118,0,item_1
119,0,item_2
120,0,item_14
121,0,item_6
122,0,item_12
123,0,item_2
124,0,item_1
124,0,item_2
125,0,item_15
126,0,item_6
127,0,item_15
128,0,item_3
129,0,item_5
130,0,item_2
131,0,item_3
132,0,item_13
133,0,item_2
134,0,item_6
135,0,item_2
136,0,item_2
137,0,item_2
138,0,item_6
139,0,item_2
140,0,item_2
141,0,item_2
142,0,item_2
143,0,item_2
144,0,item_2
145,0,item_2
146,0,item_2
147,0,item_2
148,0,item_2
149,0,item_14
150,0,item_15
151,0,item_5
152,0,item_2
153,0,item_1
154,0,item_15
155,0,item_2
156,0,item_3
157,0,item_2
158,0,item_2
159,0,item_1
159,0,item_6
160,0,item_2
161,0,item_2
162,0,item_1
162,0,item_14
162,0,item_2
163,0,item_2
164,0,item_12
165,0,item_1
165,0,item_11
165,0,item_15
165,0,item_2
166,0,item_8
167,0,item_13
168,0,item_2
169,0,item_15
170,0,item_12
171,0,item_2
172,0,item_2
173,0,item_6
174,0,item_2
175,0,item_2
176,0,item_2
177,0,item_2
178,0,item_6
179,0,item_1
180,0,item_4
181,0,item_2
182,0,item_2
183,0,item_15
184,0,item_11
184,0,item_15
185,0,item_14
186,0,item_2
187,0,item_3
188,0,item_2
189,0,item_11
189,0,item_15
190,0,item_3
191,0,item_1
191,0,item_11
191,0,item_14
191,0,item_15
191,0,item_2
192,0,item_6
193,0,item_15
194,0,item_11
195,0,item_2
196,0,item_13
197,0,item_12
198,0,item_2
199,0,item_2
200,0,item_2
201,0,item_2
202,0,item_2
203,0,item_2
204,0,item_2
205,0,item_2
206,0,item_2
207,0,item_2
208,0,item_2
209,0,item_1
210,0,item_11
211,0,item_6
212,0,item_11
213,0,item_2
214,0,item_3
215,0,item_2
216,0,item_13
217,0,item_2
218,0,item_2
219,0,item_1
220,0,item_14
221,0,item_15
222,0,item_2
223,0,item_2
224,0,item_6
225,0,item_2
226,0,item_12
227,0,item_2
228,0,item_1
229,0,item_2
230,0,item_5
231,0,item_15
232,0,item_5
233,0,item_15
234,0,item_13
235,0,item_11
235,0,item_13
235,0,item_14
236,0,item_2
237,0,item_1
237,0,item_15
238,0,item_2
239,0,item_2
240,0,item_14
241,0,item_15
242,0,item_10
243,0,item_6
244,0,item_15
245,0,item_6
246,0,item_4
246,0,item_15
247,0,item_11
248,0,item_2
249,0,item_1
250,0,item_5
251,0,item_15
252,0,item_13
253,0,item_1
254,0,item_1
255,0,item_2
256,0,item_2
257,0,item_2
258,0,item_2
259,0,item_2
260,0,item_2
261,0,item_2
262,0,item_2
263,0,item_11
264,0,item_11
265,0,item_2
266,0,item_14
267,0,item_4
268,0,item_4
269,0,item_9
270,0,item_2
271,0,item_15
271,0,item_2
272,0,item_1
272,0,item_9
